timestamp,Date,Close
965102400,"01/08/2000 01:00:00",7.953
967780800,"01/09/2000 01:00:00",7.516
970372800,"01/10/2000 01:00:00",7.266
973054800,"01/11/2000 03:00:00",6.438
975646800,"01/12/2000 03:00:00",6.313
978325200,"01/01/2001 03:00:00",7.07
981003600,"01/02/2001 03:00:00",7.133
983422800,"01/03/2001 02:00:00",5.95
986101200,"01/04/2001 02:00:00",6.75
988689600,"01/05/2001 01:00:00",7.075
991368000,"01/06/2001 01:00:00",6.5
993960000,"01/07/2001 01:00:00",5.892
996638400,"01/08/2001 01:00:00",5.625
999316800,"01/09/2001 01:00:00",4.938
1001908800,"01/10/2001 01:00:00",5.0
1004590800,"01/11/2001 03:00:00",5.063
1007182800,"01/12/2001 03:00:00",5.825
1009861200,"01/01/2002 03:00:00",5.238
1012539600,"01/02/2002 03:00:00",6.125
1014958800,"01/03/2002 02:00:00",6.617
1017637200,"01/04/2002 02:00:00",6.15
1020225600,"01/05/2002 01:00:00",5.952
1022904000,"01/06/2002 01:00:00",4.715
1025496000,"01/07/2002 01:00:00",3.3
1028174400,"01/08/2002 01:00:00",3.987
1030852800,"01/09/2002 01:00:00",2.682
1033444800,"01/10/2002 01:00:00",3.307
1036126800,"01/11/2002 02:00:00",3.275
1038718800,"01/12/2002 03:00:00",3.735
1041397200,"01/01/2003 03:00:00",3.707
1044075600,"01/02/2003 03:00:00",3.342
1046494800,"01/03/2003 02:00:00",3.787
1049173200,"01/04/2003 02:00:00",4.637
1051761600,"01/05/2003 01:00:00",4.787
1054440000,"01/06/2003 01:00:00",4.94
1057032000,"01/07/2003 01:00:00",5.073
1059710400,"01/08/2003 01:00:00",5.525
1062388800,"01/09/2003 01:00:00",5.733
1064980800,"01/10/2003 01:00:00",5.875
1067662800,"01/11/2003 03:00:00",6.017
1070254800,"01/12/2003 03:00:00",7.31
1072933200,"01/01/2004 03:00:00",7.35
1075611600,"01/02/2004 03:00:00",7.8
1078117200,"01/03/2004 02:00:00",8.375
1080795600,"01/04/2004 02:00:00",7.225
1083384000,"01/05/2004 01:00:00",6.525
1086062400,"01/06/2004 01:00:00",7.017
1088654400,"01/07/2004 01:00:00",7.07
1091332800,"01/08/2004 01:00:00",7.688
1094011200,"01/09/2004 01:00:00",8.813
1096603200,"01/10/2004 01:00:00",8.877
1099285200,"01/11/2004 02:00:00",9.54
1101877200,"01/12/2004 03:00:00",9.945
1104555600,"01/01/2005 03:00:00",10.163
1107234000,"01/02/2005 03:00:00",12.2
1109653200,"01/03/2005 02:00:00",11.045
1112331600,"01/04/2005 02:00:00",10.483
1114920000,"01/05/2005 01:00:00",11.8
1117598400,"01/06/2005 01:00:00",13.033
1120190400,"01/07/2005 01:00:00",13.142
1122868800,"01/08/2005 01:00:00",15.64
1125547200,"01/09/2005 01:00:00",17.872
1128139200,"01/10/2005 01:00:00",15.975
1130821200,"01/11/2005 03:00:00",16.9
1133413200,"01/12/2005 03:00:00",17.817
1136091600,"01/01/2006 03:00:00",23.625
1138770000,"01/02/2006 03:00:00",21.885
1141189200,"01/03/2006 02:00:00",21.667
1143867600,"01/04/2006 02:00:00",24.708
1146456000,"01/05/2006 01:00:00",21.712
1149134400,"01/06/2006 01:00:00",22.327
1151726400,"01/07/2006 01:00:00",22.97
1154404800,"01/08/2006 01:00:00",22.415
1157083200,"01/09/2006 01:00:00",20.958
1159675200,"01/10/2006 01:00:00",22.19
1162357200,"01/11/2006 02:00:00",23.538
1164949200,"01/12/2006 03:00:00",25.747
1167627600,"01/01/2007 03:00:00",24.57
1170306000,"01/02/2007 03:00:00",22.64
1172725200,"01/03/2007 02:00:00",24.878
